                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3705,                0.43922,                      1,                  1.306,             0.00023782,             0.00023782,             0.00023782
                      2,                 1.2361,                0.48889,                      1,                 1.2737,              0.0004664,              0.0004664,              0.0004664
                      3,                 1.1742,                0.53072,                      1,                 1.2371,             0.00068555,             0.00068555,             0.00068555
                      4,                 1.1336,                0.54771,                      1,                 1.1978,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.0923,                0.57778,                      1,                 1.1916,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.0435,                0.58824,                      1,                 1.1783,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.0306,                0.60131,                      1,                  1.168,             0.00064331,             0.00064331,             0.00064331
                      8,                0.99757,                0.62876,                      1,                 1.1551,             0.00062918,             0.00062918,             0.00062918
                      9,                0.98019,                0.62353,                      1,                 1.1739,             0.00061504,             0.00061504,             0.00061504
                     10,                0.96526,                0.64444,                      1,                 1.1464,              0.0006009,              0.0006009,              0.0006009
                     11,                 0.9387,                0.63529,                      1,                 1.1486,             0.00058677,             0.00058677,             0.00058677
                     12,                0.92184,                0.64837,                      1,                  1.136,             0.00057263,             0.00057263,             0.00057263
                     13,                0.91379,                0.64837,                      1,                 1.1379,             0.00055849,             0.00055849,             0.00055849
                     14,                0.89894,                0.63399,                      1,                 1.1376,             0.00054435,             0.00054435,             0.00054435
                     15,                0.88806,                0.63922,                      1,                 1.1303,             0.00053022,             0.00053022,             0.00053022
                     16,                0.87062,                0.64706,                      1,                 1.1219,             0.00051608,             0.00051608,             0.00051608
                     17,                0.86489,                0.64837,                      1,                  1.129,             0.00050194,             0.00050194,             0.00050194
                     18,                0.84942,                0.64183,                      1,                 1.1213,              0.0004878,              0.0004878,              0.0004878
                     19,                0.83554,                0.64183,                      1,                 1.1313,             0.00047367,             0.00047367,             0.00047367
                     20,                0.83474,                 0.6549,                      1,                 1.1156,             0.00045953,             0.00045953,             0.00045953
                     21,                0.82627,                0.64314,                      1,                 1.1189,             0.00044539,             0.00044539,             0.00044539
                     22,                0.81144,                0.63399,                      1,                 1.1261,             0.00043126,             0.00043126,             0.00043126
                     23,                0.80587,                0.63791,                      1,                 1.1222,             0.00041712,             0.00041712,             0.00041712
                     24,                0.78476,                0.65882,                      1,                 1.1107,             0.00040298,             0.00040298,             0.00040298
                     25,                0.79666,                0.64052,                      1,                 1.1247,             0.00038884,             0.00038884,             0.00038884
                     26,                0.78777,                0.65752,                      1,                 1.1093,             0.00037471,             0.00037471,             0.00037471
                     27,                 0.7688,                0.64183,                      1,                 1.1141,             0.00036057,             0.00036057,             0.00036057
                     28,                0.77284,                0.65098,                      1,                 1.1098,             0.00034643,             0.00034643,             0.00034643
                     29,                0.75103,                0.64967,                      1,                 1.1073,              0.0003323,              0.0003323,              0.0003323
                     30,                0.74901,                0.64837,                      1,                 1.1041,             0.00031816,             0.00031816,             0.00031816
                     31,                0.75381,                0.65621,                      1,                 1.1083,             0.00030402,             0.00030402,             0.00030402
                     32,                0.73211,                0.64706,                      1,                 1.1053,             0.00028988,             0.00028988,             0.00028988
                     33,                0.71781,                0.64575,                      1,                  1.105,             0.00027575,             0.00027575,             0.00027575
